29.9.2023.: 38, 6, 15, 21, 32, 4, 14, 22, 29, 46, 26, 27, 37, 42, 43, 44, 47, 5, 9, 10, 12, 16, 17, 31, 39, 41, 1, 11, 18, 25, 34, 35, 45, 7, 13, 19, 23, 28, 30, 33, 40, 2, 8, 20, 24, 48, 3
2.10.2023.: 47, 25, 40, 46, 9, 23, 29, 32, 34, 36, 7, 22, 3, 6, 30, 21, 42, 4, 13, 45, 1, 38, 41, 8, 12, 16, 31, 11, 15, 27, 37, 39, 43, 33, 18, 28, 26, 44, 2, 14, 48, 19, 24, 10, 35, 20, 17
3.10.2023.: 31, 32, 5, 47, 24, 11, 21, 3, 36, 40, 19, 16, 29, 39, 45, 10, 20, 46, 2, 26, 35, 23, 25, 33, 9, 30, 38, 42, 43, 48, 4, 44, 6, 34, 14, 41, 17, 22, 28, 8, 1, 12, 7, 13, 15, 18, 37
4.10.2023.: 5, 24, 45, 15, 6, 2, 39, 17, 27, 3, 4, 33, 34, 35, 41, 42, 44, 47, 26, 31, 38, 7, 10, 18, 20, 21, 28, 19, 22, 12, 32, 37, 16, 30, 40, 1, 11, 14, 23, 36, 48, 8, 13, 25, 9, 29, 46
5.10.2023.: 26, 15, 45, 32, 44, 35, 40, 25, 38, 24, 43, 2, 8, 6, 17, 34, 36, 46, 14, 21, 16, 18, 20, 31, 37, 47, 19, 42, 4, 9, 41, 5, 29, 30, 33, 7, 1, 10, 23, 27, 39, 48, 11, 13, 3, 12, 28
6.10.2023.: 25, 11, 15, 22, 31, 26, 28, 23, 6, 10, 24, 38, 19, 35, 39, 46, 4, 18, 40, 44, 47, 20, 34, 43, 30, 32, 27, 41, 45, 9, 17, 36, 42, 48, 7, 37, 16, 21, 12, 3, 5, 33, 1, 2, 29, 14, 13
7.10.2023.: 47, 40, 5, 23, 42, 7, 8, 12, 14, 17, 19, 25, 43, 20, 24, 44, 45, 11, 27, 34, 4, 30, 31, 6, 18, 36, 38, 16, 26, 22, 46, 15, 29, 9, 10, 48, 1, 2, 3, 41, 13, 32, 21, 28, 33, 35, 39
8.10.2023.: 22, 16, 35, 40, 19, 14, 33, 38, 46, 47, 29, 6, 21, 41, 43, 45, 27, 3, 15, 7, 20, 30, 11, 32, 8, 10, 24, 36, 42, 18, 26, 37, 12, 25, 39, 44, 1, 4, 13, 23, 2, 5, 9, 48, 34, 17, 31
9.10.2023.: 36, 45, 18, 42, 43, 13, 31, 41, 38, 2, 14, 30, 34, 3, 33, 4, 16, 27, 7, 20, 44, 47, 9, 10, 28, 29, 40, 11, 39, 19, 25, 48, 8, 22, 24, 32, 5, 21, 15, 46, 37, 12, 17, 35, 6, 23, 26
10.10.2023.: 41, 36, 6, 20, 31, 47, 44, 45, 4, 21, 38, 40, 9, 16, 43, 24, 11, 12, 19, 39, 2, 3, 5, 46, 48, 7, 34, 10, 15, 22, 29, 42, 23, 13, 25, 8, 18, 28, 33, 30, 17, 26, 35, 14, 1, 27, 37
11.10.2023.: 43, 16, 28, 32, 34, 48, 12, 42, 22, 27, 30, 33, 39, 41, 4, 6, 13, 14, 19, 24, 45, 40, 5, 47, 11, 36, 46, 29, 44, 8, 18, 21, 37, 38, 10, 17, 1, 15, 23, 20, 2, 3, 9, 26, 31, 35, 7
12.10.2023.: 42, 34, 37, 16, 21, 39, 40, 47, 1, 18, 19, 35, 2, 38, 46, 10, 14, 30, 45, 48, 3, 4, 5, 8, 27, 43, 23, 36, 6, 32, 41, 9, 12, 29, 15, 7, 17, 11, 22, 13, 44, 24, 26, 25, 31, 33, 20
13.10.2023.: 3, 33, 43, 10, 20, 39, 28, 30, 44, 5, 48, 1, 37, 34, 36, 41, 42, 15, 24, 2, 46, 9, 38, 14, 40, 6, 16, 11, 45, 7, 19, 25, 47, 4, 32, 22, 21, 27, 35, 8, 17, 18, 26, 12, 29, 23, 31
14.10.2023.: 32, 23, 5, 37, 17, 7, 12, 16, 18, 19, 4, 21, 28, 3, 41, 9, 13, 45, 2, 35, 38, 44, 8, 29, 36, 11, 14, 34, 22, 42, 47, 6, 31, 46, 10, 24, 27, 15, 25, 39, 43, 30, 1, 48, 20, 40, 26
15.10.2023.: 30, 27, 11, 25, 24, 29, 33, 34, 36, 39, 6, 15, 37, 8, 20, 35, 40, 43, 47, 21, 2, 28, 31, 38, 5, 13, 18, 32, 46, 19, 23, 45, 14, 17, 42, 48, 16, 3, 4, 7, 10, 1, 41, 26, 9, 12, 22
16.10.2023.: 43, 45, 8, 21, 22, 24, 38, 40, 20, 16, 19, 28, 6, 1, 3, 13, 34, 14, 31, 39, 41, 47, 7, 4, 25, 48, 30, 35, 36, 44, 9, 11, 42, 10, 18, 26, 5, 27, 32, 2, 33, 46, 23, 37, 17, 29, 12
17.10.2023.: 39, 34, 24, 7, 22, 32, 45, 5, 37, 42, 43, 18, 19, 41, 47, 11, 29, 40, 21, 30, 4, 15, 20, 27, 6, 8, 14, 23, 26, 31, 2, 44, 46, 13, 16, 33, 38, 1, 35, 48, 12, 28, 17, 25, 36, 3, 10
